Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
"(""Mammillary body"" OR ""Mammillary bodies)","(Medulla OR ""medulla oblongata"")",0,3,22560,22563,0
"(""Mammillary body"" OR ""Mammillary bodies)",Nucleus basalis,0,0,2329,2329,0
Olfactory bulb,Postcentral gyrus,0,11269,624,11893,0
"(""Mammillary body"" OR ""Mammillary bodies)",Middle frontal,0,0,20462,20462,0
"(""Locus coeruleus"" OR ""locus ceruleus"")",(Septal AND (nuclei OR nucleus)),67,3241,2346,5587,0.011992125
Nucleus basalis,(Superior AND collicul*),74,2256,172253,174509,0.000424047
Operculum,(Raphe AND (nuclei OR nucleus)),0,926,4385,5311,0
"(""Posterior nucleus"" AND hypothalamus)","(""Ventral posterior"" AND (nuclei OR nucleus))",461,2279,1017,3296,0.139866505
(Periventricular AND (nuclei OR nucleus)),"(""Superior olive"" OR ""superior olivary"")",2,1072,512,1584,0.001262626
Posterior parahippocampal gyrus,Primary motor,4,485,14735,15220,0.000262812
Stria terminalis,Subgranular,1,2734,631,3365,0.000297177
(Septal AND (nuclei OR nucleus)),Temporoparietal,0,2413,1460,3873,0
(Periventricular AND (nuclei OR nucleus)),Piriform cortex,27,1047,2043,3090,0.008737864
Premotor,"(""Ventral anterior"" AND (nuclei OR nucleus))",37,4692,1421,6113,0.006052675
"(""Ventral anterior"" AND (nuclei OR nucleus))","(""Ventral posteromedial"" AND (nuclei OR nucleus))",43,1415,100,1515,0.028382838
"(""Red nucleus"")",(Raphe AND (nuclei OR nucleus)),143,4355,4242,8597,0.016633709
Superior frontal,Ventromedial prefrontal,30,4925,734,5659,0.00530129
Angular gyrus,Claustrum,3,638,852,1490,0.002013423
Angular gyrus,Subthalam*,0,641,0,641,0
Amygdala,"(""Red nucleus"")",95,23262,4403,27665,0.003433942
Cingulum,Fusiform,9,676,5446,6122,0.001470108
Cingulum,"(""Inferior olive"" OR ""Inferior olivary"")",0,685,834,1519,0
Amygdala,Parahippocamp*,0,23357,0,23357,0
Claustrum,Posterior cingulate,50,805,2875,3680,0.013586957
Broca's area,(Inferior AND collicul*),3022,49401,78311,127712,0.023662616
Basal forbrain,(Periventricular AND (nuclei OR nucleus)),97,1,1074,1075,0.090232558
Caudate,Superior frontal,255,18546,4700,23246,0.010969629
Broca's area,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",12,52411,131,52542,0.000228389
Cerebellum,Entorhinal,226,56657,5321,61978,0.003646455
Fusiform,"(""Red nucleus"")",13,5442,4485,9927,0.00130956
Cingulate,Hypothalam*,0,11104,3,11107,0
Fusiform,Ventral tegmentum,18,5437,4808,10245,0.001756955
Globus pallidus,Piriform cortex,51,8055,2019,10074,0.005062537
Dentate gyrus,Substantia nigra,323,11634,19066,30700,0.010521173
Hypothalam*,Operculum,0,3,926,929,0
Hypothalam*,Middle temporal,0,3,37423,37426,0
Fusiform,Nucleus accumbens,9,5446,12798,18244,0.000493313
Inferior parietal lobule,Thalamic reticular,4,912,3707,4619,0.000865988
Insula*,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",2,3108,141,3249,0.000615574
Insula*,Pulvinar,27,3083,1106,4189,0.006445452
(Inferior AND collicul*),Wernicke's area,3150,78183,37751,115934,0.027170632
Lingual gyrus,Perirhinal,0,433,1200,1633,0
"(""Inferior olive"" OR ""Inferior olivary"")","(""Red nucleus"")",65,769,4433,5202,0.012495194
(Intralaminar AND (nuclei OR nucleus)),Prefrontal,60,716,24041,24757,0.002423557
"(""Inferior olive"" OR ""Inferior olivary"")","(Medulla OR ""medulla oblongata"")",634,200,21931,22131,0.028647598
Lingual gyrus,"(""Ventral anterior"" AND (nuclei OR nucleus))",0,433,1458,1891,0
Middle frontal,periaqueductal,35,20437,4541,24978,0.001401233
"(""Nucleus gracilis"" OR ""gracile nucleus"")",Stria terminalis,0,6,2735,2741,0
"(""Mammillary body"" OR ""Mammillary bodies)",Parahippocamp*,0,6,0,6,0
Nucleus accumbens,Prefrontal,1845,10962,22256,33218,0.055542176
"(Medulla OR ""medulla oblongata"")",Piriform cortex,24,22541,2046,24587,0.000976126
Lateral geniculate,Operculum,4,5831,922,6753,0.000592329
periaqueductal,Temporoparietal,0,4576,1460,6036,0
Operculum,(Septal AND (nuclei OR nucleus)),0,926,2413,3339,0
Posterior parahippocampal gyrus,"(""Ventral posterior"" AND (nuclei OR nucleus))",9,480,1469,1949,0.004617753
Pineal,Pons,69,14334,17484,31818,0.002168584
Pontine nuclei,Pulvinar,54,7654,1079,8733,0.006183442
Stria terminalis,"(""Superior olive"" OR ""superior olivary"")",2,2733,512,3245,0.000616333
Pontine nuclei,Ventral tegmentum,260,7448,4566,12014,0.021641418
Striatum,Superior frontal,140,44608,4815,49423,0.002832689
Subiculum,Zona incerta,18,1862,2902,4764,0.003778338
Substantia nigra,Superior temporal,48,19341,8913,28254,0.001698874
Substantia nigra,Subiculum,113,19276,1767,21043,0.005369957
Calcarine fissure,(Septal AND (nuclei OR nucleus)),0,120,2413,2533,0
Ambiguus,Globus pallidus,9,1207,8097,9304,0.000967326
Claustrum,Postcentral gyrus,10,845,614,1459,0.00685401
Claustrum,Posterior parietal,48,807,5666,6473,0.007415418
Cingulum,Temporoparietal,2,683,1458,2141,0.000934143
Entorhinal,Parahippocamp*,0,5547,0,5547,0
Calcarine fissure,Infralimbic,0,120,496,616,0
Broca's area,Ventral tegmentum,377,52046,4449,56495,0.006673157
Basal forbrain,Prefrontal,1468,1,24101,24102,0.060907808
Cerebellum,Orbitofrontal,174,56709,2822,59531,0.002922847
Cingulate,Stria terminalis,133,10971,2602,13573,0.009798865
Cingulate,"(""Red nucleus"")",36,11068,4462,15530,0.002318094
Fusiform,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",4,5451,139,5590,0.000715564
(Cochlear AND (nuclei OR nucleus)),Thalamus,111,4316,32429,36745,0.003020819
(Cochlear AND (nuclei OR nucleus)),Supplementary motor,0,4427,2774,7201,0
Diagonal band of Broca,"(""Ventral anterior"" AND (nuclei OR nucleus))",50,858,1408,2266,0.022065313
"(""Gustatory cortex"" OR ""gustatory area"")",Visual extrastriate,0,69,1534,1603,0
Hypothalam*,Nucleus accumbens,0,3,12807,12810,0
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Ventral tegmentum,0,6,4826,4832,0
"(""Gustatory cortex"" OR ""gustatory area"")",Operculum,11,58,915,973,0.011305242
Hypothalam*,"(""Mammillary body"" OR ""Mammillary bodies)",0,3,37,40,0
Indusium griseum,Wernicke's area,1,76,40900,40976,2.44E-05
Interstitial nucleus,Parahippocamp*,0,2039,0,2039,0
Lingual gyrus,Wernicke's area,97,336,40804,41140,0.002357803
(Intralaminar AND (nuclei OR nucleus)),"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,776,6,782,0
