Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
Inferior parietal lobule,Premotor,148,768,4581,5349,0.027668723
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Operculum,0,6,926,932,0
Lingual gyrus,Orbitofrontal,30,403,2966,3369,0.00890472
Hypothalam*,Thalamus,0,3,32540,32543,0
Inferior temporal,Parahippocamp*,0,6615,0,6615,0
Infralimbic,Nucleus basalis,5,491,2325,2816,0.001775568
Lateral geniculate,Putamen,94,5741,10655,16396,0.005733106
Lateral geniculate,"(""Red nucleus"")",82,5753,4416,10169,0.008063723
"(""Locus coeruleus"" OR ""locus ceruleus"")",Visual cortex,51,3257,39202,42459,0.001201159
"(""Mammillary body"" OR ""Mammillary bodies)","(""Medial dorsal"" AND nucl*)",0,0,1,1,0
"(Medulla OR ""medulla oblongata"")",Pons,3401,19164,14152,33316,0.102083083
"(Medulla OR ""medulla oblongata"")",Postcentral gyrus,6,22559,618,23177,0.000258877
Middle temporal,Superior temporal,3594,33829,5367,39196,0.09169303
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",Primary sensory,0,8,11606,11614,0
Posterior parietal,Subiculum,17,5697,1863,7560,0.002248677
Primary motor,"(""Red nucleus"")",62,14677,4436,19113,0.003243865
Pontine nuclei,Stria terminalis,173,7535,2562,10097,0.017133802
Subgranular,Ventral tegmentum,0,632,4826,5458,0
Premotor,Ventral tegmentum,33,4696,4793,9489,0.003477711
Premotor,Subiculum,10,4719,1870,6589,0.001517681
Supplementary motor,Thalamus,329,2445,32211,34656,0.009493306
Ambiguus,Ventral tegmentum,16,1200,4810,6010,0.00266223
Angular gyrus,Broca's area,173,468,52250,52718,0.003281612
Calcarine fissure,Posterior parietal,2,118,5712,5830,0.000343053
Globus pallidus,(Raphe AND (nuclei OR nucleus)),119,7987,4266,12253,0.009711907
Fusiform,(Periventricular AND (nuclei OR nucleus)),8,5447,1066,6513,0.001228313
"(""Gustatory cortex"" OR ""gustatory area"")",Medial frontal,3,66,5875,5941,0.000504965
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Supplementary motor,0,6,2774,2780,0
